Address,City,Venue_Name,Latitude,Longitude,Miles_Away,Type,Category_ID
15 Sabrina Ct,Methuen,Methuen Police Department,42.73067,-71.191349,1.8,Police Station,4bf58dd8d48988d12e941735
19 Emerton St #19,Salem,NSMC Salem Hospital,42.51124622143515,-70.90663659210071,1.4,Emergency Room,4bf58dd8d48988d194941735
19 Emerton St #19,Salem,Salem Police Department,42.515705,-70.89664599999999,0.9,Police Station,4bf58dd8d48988d12e941735
19 Emerton St #19,Salem,Salem Fire Department,42.52028424673089,-70.89354709033145,0.5,Fire Station,4bf58dd8d48988d12c941735
19 Emerton St #19,Salem,Milk  & Honey Green Grocer,42.52260628570009,-70.89525472974817,0.5,Grocery Store,4bf58dd8d48988d118951735
19 Emerton St #19,Salem,Meadow at Peabody Golf Course,42.51414308749232,-70.93890485246338,2.8,Golf Course,4bf58dd8d48988d1e6941735
19 Emerton St #19,Salem,MBTA Salem Station,42.524241992545164,-70.89597702026367,0.5,Train Station,4bf58dd8d48988d129951735
19 Emerton St #19,Salem,Salem Common,42.523875635650775,-70.88959917955872,0.2,Park,4bf58dd8d48988d163941735
2 Robin Rd,Beverly,Beverly Fire Station Headquarters,42.548308299601125,-70.87710496886224,1.7,Fire Station,4bf58dd8d48988d12c941735
2 Robin Rd,Beverly,Beverly Golf And Tennis,42.56444772406404,-70.89485918219953,2.4,Golf Course,4bf58dd8d48988d1e6941735
2 Robin Rd,Beverly,Beverly Police Department,42.54784376296167,-70.878144231347,1.8,Police Station,4bf58dd8d48988d12e941735
2 Robin Rd,Beverly,Whole Foods Market,42.573455810546875,-70.87955474853516,1.8,Grocery Store,4bf58dd8d48988d118951735
2 Robin Rd,Beverly,MBTA Montserrat Station,42.56187588412905,-70.8700217981147,1.1,Train Station,4bf58dd8d48988d129951735
2 Robin Rd,Beverly,Cross Lane Field,42.561645992005914,-70.85400832547873,0.3,Soccer Field,4bf58dd8d48988d163941735
2 Robin Rd,Beverly,Beverly Hospital Emergency Department,42.563812329159795,-70.87530103242862,1.4,Emergency Room,4bf58dd8d48988d194941735
2 Valley View Farm Rd,Haverhill,Groveland police,42.763179552723955,-71.024010952834,1.9,Police Station,4bf58dd8d48988d12e941735
2 Valley View Farm Rd,Haverhill,Merrimack Valley Gynecology,42.76529497478418,-71.04550241285732,1.0,Hospital,4bf58dd8d48988d194941735
2 Valley View Farm Rd,Haverhill,Market Basket,42.763878782866655,-71.03776215150258,1.3,Grocery Store,4bf58dd8d48988d118951735
